,property_url,property_id,listing_id,mls,mls_id,status,text,style,full_street_line,street,unit,city,state,zip_code,beds,full_baths,half_baths,sqft,year_built,days_on_mls,list_price,list_date,sold_price,assessed_value,estimated_value,new_construction,lot_sqft,price_per_sqft,latitude,longitude,neighborhoods,county,fips_code,stories,hoa_fee,parking_garage,nearby_schools,dist_to_cwru_mi,price_per_sqft_ann
0,https://www.realtor.com/rentals/details/3818-John-Ave_Cleveland_OH_44113_M97844-16758,9784416758,2973279857,NEOH,5075465,FOR_RENT,"Available December in the HEART of Ohio City! Located at the corner of John and Woodbine, youll find easy access to all the restaurants, bars, and markets the area has to offer. This spacious two bedroom unit has been completely updated from top to bottom. Both bedrooms have new lighted ceiling fans, fresh carpet, and ample closet space. The full bathroom is newly tiled and features a fresh vanity and sink. Living area features high ceilings, recessed lighting, room to relax, and a conveniently located half bath. Kitchen is complete with a full set of stainless steel appliances, new butcher block countertops, and plenty of cabinets. Washer/dryer in private basement and access to partially fenced in yard! Pet friendly with some restrictions. Ample street parking! Contact agent with further questions!",MULTI_FAMILY,3818 John Ave,3818 John Ave,,Cleveland,OH,44113,2.0,1.0,1.0,938.0,1900.0,0,1600.0,2024-10-04,,,355000.0,False,,2.0,41.484055,-81.714165,Ohio City,Cuyahoga,39035.0,,0.0,,"Cleveland Metropolitan School District, Frederick Douglass Reclamation Academy, Near West Intergenerational School",5.662859849002053,20.46908315565032
1,https://www.realtor.com/rentals/details/17205-Lipton-Ave_Cleveland_OH_44128_M45119-59785,4511959785,2973287722,NEOH,5075529,FOR_RENT,"17205 Lipton Ave, Cleveland - Spacious 3 bed 1.5 bath single family home! // $ 1195 rent / $ 1195 deposit // $49 application fee per adult // 1-2 pets OK in this unit. After application pre-approval, a PetScreening is required for any animals to proceed with one of our properties; a PetScreening affidavit is still required if you have no pets. (Some breed restrictions apply per HUD guidelines). // NO SMOKING // 1 time $149 non-refundable set up fee paid at lease signing // $30/month required resident benefit package; can include personal property/liability insurance for an additional $5/month for $35/month total // After application Pre-Approval 1 applicant per household application is required to fill out a PetScreening application, before being about to proceed with placing a Reservation Fee for one of our properties. You will receive a pre-approval for your application and in order to proceed, the PetScreening is required. Even if you have NO pets - this application must be filled out. One time, non-refundable pet fee of $200-500 per animal applies to all pets & must be paid before or when you pay your first month rent. (No fee for qualified assistance animals). // Our application is processed through secure site: Findigs, and they require ID and income verification. Without this, your application will not be processed. They offer 24/7 chat support on their application directly if you have any questions. // BEDROOMS: 3 // BATHROOMS: 1.5 // APPLIANCES PROVIDED: Fridge, stove, microwave, and dishwasher // UTILITIES / RESIDENT RESPONSIBILITY: Residents are responsible for all utilities including: water/sewer/trash, gas & electric and are responsible to maintain lawn care, maintenance & snow removal. // Serious inquiries only.",SINGLE_FAMILY,17205 Lipton Ave,17205 Lipton Ave,,Cleveland,OH,44128,3.0,1.0,1.0,918.0,1959.0,0,1195.0,2024-10-04,135000.0,12610.0,100000.0,False,4312.0,1.0,41.4358,-81.559193,Lee - Miles,Cuyahoga,39035.0,1.0,0.0,2.0,"Cleveland Metropolitan School District, T2 Honors Academy",5.373153333796953,15.620915032679738
2,https://www.realtor.com/rentals/details/1079-E-171st-St-1_Cleveland_OH_44119_M94815-43019,9481543019,2973283498,NEOH,5075502,FOR_RENT,"1079 E 171ST ST| UNIT 1, Cleveland- Spacious 2 bed 1 bath multi-family home! // $ 900 rent / $ 900 deposit // $49 application fee per adult // 1-2 pets OK in this unit. After application pre-approval, a PetScreening is required for any animals to proceed with one of our properties; a PetScreening affidavit is still required if you have no pets. (Some breed restrictions apply per HUD guidelines). // NO SMOKING // 1 time $129 non-refundable set up fee paid at lease signing // $30/month required resident benefit package; can include personal property/liability insurance for an additional $5/month for $35/month total. // After application Pre-Approval 1 applicant per household application is required to fill out a PetScreening application, before being about to proceed with placing a Reservation Fee for one of our properties. You will receive a pre-approval for your application and in order to proceed, the PetScreening is required. Even if you have NO pets - this application must be filled out. One time, non-refundable pet fee of $200-500 per animal applies to all pets & must be paid before or when you pay your first month rent. (No fee for qualified assistance animals). // Our application is processed through secure site: Findigs, and they require ID and income verification. Without this, your application will not be processed. They offer 24/7 chat support on their application directly if you have any questions. // BEDROOMS: 2 // BATHROOMS: 1 // APPLIANCES PROVIDED: A stove will be provided upon move-in // UTILITIES / RESIDENT RESPONSIBILITY: Resident pays gas, water and electric and is responsible for snow removal. // Serious inquiries only.",MULTI_FAMILY,1079 E 171st St Unit 1,1079 E 171st St,Unit 1,Cleveland,OH,44119,2.0,1.0,,1113.0,1920.0,0,900.0,2024-10-04,,,,False,,1.0,41.578304,-81.560318,North Collinwood,Cuyahoga,39035.0,2.0,0.0,1.0,"Lakeshore Intergenerational School, Cleveland Metropolitan School District",5.683166334949567,9.703504043126685
3,https://www.realtor.com/rentals/details/787-London-Rd-Apt-3_Cleveland_OH_44110_M98336-05896,9833605896,2973268476,AVAL,61200520,FOR_RENT,"Amazing 1 bedroom, 1 bathroom apartment in Cleveland. Amenities included: hardwood floors, updated kitchen, and updated bathroom. Utilities included: water. Is not pet friendly. Date Available: Oct 1st 2024. $700/month rent. $700 security deposit required. Please submit the form on this page or contact Jamilla to learn more. This property is managed by a responsible landlord using Avail landlord software.",APARTMENT,787 London Rd Apt 3,787 London Rd,Apt 3,Cleveland,OH,44110,1.0,1.0,,700.0,,0,700.0,2024-10-04,,,,False,,1.0,41.559353,-81.565918,South Collinwood,Cuyahoga,39035.0,,,,"Cleveland Metropolitan School District, East Academy School District",4.391805843585582,12.0
4,https://www.realtor.com/rentals/details/1434-W-112th-St-Apt-2_Cleveland_OH_44102_M91901-05426,9190105426,2973256778,RENU,r3773772,FOR_RENT,"Welcome to this charming apartment located at 1434 West 112th Street in Cleveland, OH. Unit #2 offers 900.0 sqft of living space in a historic building built in 1907. This cozy apartment features 2 bedrooms and 1 bathroom, providing a comfortable living environment.The unit is well-maintained and boasts the beautiful original hard wood floors. The living area is spacious and ideal for relaxing or entertaining guests.Located in a convenient neighborhood, this apartment offers easy access to local amenities, dining options, and public transportation. With a 12-month lease starting on October 20, 2024, this property provides a great opportunity for those looking for a long-term rental option.Don't miss the chance to make this apartment your new home. Schedule a viewing today and experience the comfort and convenience this property has to offer.",APARTMENT,1434 W 112th St Apt 2,1434 W 112th St,Apt 2,Cleveland,OH,44102,2.0,1.0,,900.0,,0,1100.0,2024-10-04,,,,False,,1.0,41.481632,-81.765244,Edgewater,Cuyahoga,39035.0,,,,"Lakewood City Academy, Cleveland Metropolitan School District, Hope Academy Northwest Campus, Lake Erie International High School School District",8.287265398175421,14.666666666666666
7,https://www.realtor.com/rentals/details/14216-Ashwood-Rd_Cleveland_OH_44120_M37441-95467,3744195467,2973234363,NEOH,5075224,FOR_RENT,"Take a look at this newly updated colonial home in the heart of Shaker Heights! This property features 3 beds and 1 1/2 baths! Both bedrooms are located on the second floor of this home. There is an additional bonus room on the first floor that could be used as a 3rd bedroom or back patio room! Updates to this property include new flooring, new interior paint, updated main bathroom and much more! Schedule your showing!",SINGLE_FAMILY,14216 Ashwood Rd,14216 Ashwood Rd,,Cleveland,OH,44120,3.0,1.0,1.0,1459.0,1929.0,0,1700.0,2024-10-04,140000.0,55800.0,201200.0,False,6987.0,1.0,41.471949,-81.582492,"Ludlow, Buckeye - Shaker",Cuyahoga,39035.0,2.0,0.0,2.0,"Randall Park High School, Shaker Heights City School District, Chapelside Cleveland Academy School District, Wings Academy 2",2.6061280879340107,13.982179575051404
8,https://www.realtor.com/rentals/details/3368-W-105th-St_Cleveland_OH_44111_M36581-93894,3658193894,2973226476,TRBO,1618178,FOR_RENT,"Two bedroom townhome style duplex. Completely remodeled throughout. Kitchen, new flooring's, updated bathroom, private basement and walk up attic. All brand new all appliances including washer and dryer, new windows. Huge shared yard. Off street parking, one side of garage included. To apply, visit TurboTenant and search for Property ID 1618178",TOWNHOMES,3368 W 105th St,3368 W 105th St,,Cleveland,OH,44111,2.0,1.0,1.0,1175.0,,1,1240.0,2024-10-03,93000.0,31330.0,136606.0,False,,1.0,41.460826,-81.759247,West Boulevard,Cuyahoga,39035.0,,,,"Cleveland Metropolitan School District, Constellation Schools: Outreach Academy For Students With Di",8.38358119820807,12.663829787234043
9,https://www.realtor.com/rentals/details/10809-Nelson-Ave_Cleveland_OH_44105_M91154-09583,9115409583,2973225962,NEOH,5075194,FOR_RENT,Newly renovated three bedroom apartment. Beautiful kitchen and bath!!!,APARTMENT,10809 Nelson Ave,10809 Nelson Ave,,Cleveland,OH,44105,3.0,1.0,,960.0,1920.0,1,950.0,2024-10-03,,,,False,5602.0,1.0,41.453377,-81.60923,Union - Miles Park,Cuyahoga,39035.0,2.0,,,"Harvard Avenue Community School, Cleveland Metropolitan School District",3.5145344299841255,11.875
11,https://www.realtor.com/rentals/details/7905-Berry-Ave_Cleveland_OH_44102_M30293-69787,3029369787,2973220969,NEOH,5075149,FOR_RENT,"7905 Berry Ave, Cleveland - Spacious 4 bed 1.5 bath single family home! // $ 1445 rent / $ 1445 deposit // $49 application fee per adult // 1-2 pets OK in this unit. After application pre-approval, a PetScreening is required for any animals to proceed with one of our properties; a PetScreening affidavit is still required if you have no pets. (Some breed restrictions apply per HUD guidelines). // NO SMOKING // 1 time $149 non-refundable set up fee paid at lease signing // $30/month required resident benefit package; can include personal property/liability insurance for an additional $5/month for $35/month total // After application Pre-Approval 1 applicant per household application is required to fill out a PetScreening application, before being about to proceed with placing a Reservation Fee for one of our properties. You will receive a pre-approval for your application and in order to proceed, the PetScreening is required. Even if you have NO pets - this application must be filled out. One time, non-refundable pet fee of $200-500 per animal applies to all pets & must be paid before or when you pay your first month rent. (No fee for qualified assistance animals). // Our application is processed through secure site: Findigs, and they require ID and income verification. Without this, your application will not be processed. They offer 24/7 chat support on their application directly if you have any questions. // BEDROOMS: 4 // BATHROOMS: 1.5 // APPLIANCES PROVIDED: Fridge, stove and microwave // UTILITIES / RESIDENT RESPONSIBILITY: Residents are responsible for all utilities including: water/sewer/trash, gas & electric and are responsible to maintain lawn care, maintenance & snow removal. // Serious inquiries only.",SINGLE_FAMILY,7905 Berry Ave,7905 Berry Ave,,Cleveland,OH,44102,4.0,1.0,1.0,1932.0,1904.0,1,1445.0,2024-10-03,88000.0,19400.0,98507.0,False,5140.0,1.0,41.463662,-81.740335,West Boulevard,Cuyahoga,39035.0,2.0,0.0,2.0,"Cleveland Metropolitan School District, Constellation Schools: Outreach Academy For Students With Di",7.398863336188359,8.975155279503106
13,https://www.realtor.com/rentals/details/4388-W-47th-St_Cleveland_OH_44144_M30011-46690,3001146690,2973224900,NEOH,5075174,FOR_RENT,"4388 W 47TH ST | UP, Cleveland- Spacious 2 bed 1 bath multi-family home! // $ 1200 rent / $ 1200 deposit // $49 application fee per adult // 1-2 pets OK in this unit. After application pre-approval, a PetScreening is required for any animals to proceed with one of our properties; a PetScreening affidavit is still required if you have no pets. (Some breed restrictions apply per HUD guidelines). // NO SMOKING // 1 time $149 non-refundable set up fee paid at lease signing // $30/month required resident benefit package; can include personal property/liability insurance for an additional $5/month for $35/month total. // CMHA OK - 2 bdrm voucher; must be prepared with reservation fee to hold the property and moving packet. // After application Pre-Approval 1 applicant per household application is required to fill out a PetScreening application, before being about to proceed with placing a Reservation Fee for one of our properties. You will receive a pre-approval for your application and in order to proceed, the PetScreening is required. Even if you have NO pets - this application must be filled out. One time, non-refundable pet fee of $200-500 per animal applies to all pets & must be paid before or when you pay your first month rent. (No fee for qualified assistance animals). // Our application is processed through secure site: Findigs, and they require ID and income verification. Without this, your application will not be processed. They offer 24/7 chat support on their application directly if you have any questions. // BEDROOMS: 2 // BATHROOMS: 1 // APPLIANCES PROVIDED: Stove // UTILITIES / RESIDENT RESPONSIBILITY: Resident pays gas and electric and is responsible for snow removal. // Serious inquiries only.",MULTI_FAMILY,4388 W 47th St Unit 2 /Up,4388 W 47th St,Unit 2 /Up,Cleveland,OH,44144,2.0,1.0,,1019.0,1924.0,1,1200.0,2024-10-03,73000.0,31580.0,165900.0,False,,1.0,41.436968,-81.718189,Old Brooklyn,Cuyahoga,39035.0,2.0,0.0,1.0,"Cleveland Metropolitan School District, Constellation Schools: Old Brooklyn Community Middle",7.35297572732548,14.131501472031402
