,property_url,property_id,listing_id,mls,mls_id,status,text,style,full_street_line,street,unit,city,state,zip_code,beds,full_baths,half_baths,sqft,year_built,days_on_mls,list_price,list_date,sold_price,assessed_value,estimated_value,new_construction,lot_sqft,price_per_sqft,latitude,longitude,neighborhoods,county,fips_code,stories,hoa_fee,parking_garage,nearby_schools,dist_to_cwru_mi,price_per_bed,price_per_sqft_ann,price_per_sqft_per_bed_ann
1,https://www.realtor.com/rentals/details/17209-Holly-Hill-Dr_Cleveland_OH_44128_M38867-74443,3886774443,2975565904,NEOH,5087858,FOR_RENT,"17209 Holy Hill Dr, Cleveland - Spacious 3 bed 2 bath single family home! // $ 1250 rent / $ 1250 deposit // $49 application fee per adult // 1-2 pets OK in this unit. After application pre-approval, a PetScreening is required for any animals to proceed with one of our properties; a PetScreening affidavit is still required if you have no pets. (Some breed restrictions apply per HUD guidelines). // NO SMOKING // 1 time $149 non-refundable set up fee paid at lease signing // $30/month required resident benefit package; can include personal property/liability insurance for an additional $5/month for $35/month total. // CMHA OK - 3 bdrm voucher; must be prepared with reservation fee to hold the property and moving packet. // After application Pre-Approval 1 applicant per household application is required to fill out a PetScreening application, found here: havenrealty.petscreening.com before being about to proceed with placing a Reservation Fee for one of our properties. You will receive a pre-approval for your application and in order to proceed, the PetScreening is required. Even if you have NO pets - this application must be filled out. One time, non-refundable pet fee of $200-500 per animal applies to all pets & must be paid before or when you pay your first month rent. (No fee for qualified assistance animals). // Our application is processed through secure site: Findigs, and they require ID and income verification. Without this, your application will not be processed. They offer 24/7 chat support on their application directly if you have any questions. // BEDROOMS: 3 // BATHROOMS: 2 // APPLIANCES PROVIDED: N/A // UTILITIES / RESIDENT RESPONSIBILITY: Residents are responsible for all utilities including: water/sewer/trash, gas & electric and are responsible to maintain lawn care, maintenance & snow removal. // Serious inquiries only.",SINGLE_FAMILY,17209 Holly Hill Dr,17209 Holly Hill Dr,,Cleveland,OH,44128,3,1,,1144,1953,1,1250,2024-11-29,105000,24360,117344,False,6843,1,41.445153,-81.559134,Lee - Miles,Cuyahoga,39035,2,0,,Cleveland Metropolitan School District,4.816593559846744,416.6666666666667,13.111888111888112,4.370629370629371
6,https://www.realtor.com/rentals/details/2828-Snow-Rd_Cleveland_OH_44134_M32628-42660,3262842660,2975567821,NEOH,5087870,FOR_RENT,"2828 Snow Rd | DN, Parma - Spacious 2 bed 1 bath multi-family home! // $ 950 rent / $ 950 deposit // $49 application fee per adult // 1-2 pets OK in this unit. After application pre-approval, a PetScreening is required for any animals to proceed with one of our properties; a PetScreening affidavit is still required if you have no pets. (Some breed restrictions apply per HUD guidelines). // NO SMOKING // 1 time $129 non-refundable set up fee paid at lease signing // $30/month required resident benefit package; can include personal property/liability insurance for an additional $5/month for $35/month total. // After application Pre-Approval 1 applicant per household application is required to fill out a PetScreening application, found here: havenrealty.petscreening.com before being about to proceed with placing a Reservation Fee for one of our properties. You will receive a pre-approval for your application and in order to proceed, the PetScreening is required. Even if you have NO pets - this application must be filled out. One time, non-refundable pet fee of $200-500 per animal applies to all pets & must be paid before or when you pay your first month rent. (No fee for qualified assistance animals). // Our application is processed through secure site: Findigs, and they require ID and income verification. Without this, your application will not be processed. They offer 24/7 chat support on their application directly if you have any questions. // BEDROOMS: 2 // BATHROOMS: 1 // APPLIANCES PROVIDED: Stove // UTILITIES / RESIDENT RESPONSIBILITY: Resident pays gas and electric and is responsible for snow removal. // Serious inquiries only.",MULTI_FAMILY,2828 Snow /Dn Rd Unit 1,2828 Snow /Dn Rd,Unit 1,Parma,OH,44134,2,1,,1015,1959,1,950,2024-11-29,100000,48170,220400,False,,1,41.405224,-81.703378,,Cuyahoga,39035,2,0,1,"Global Village Academy, Constellation Schools: Stockyard Community Middle, Parma City School District, Constellation Schools: Parma Community",8.430003417895739,475.0,11.231527093596059,5.615763546798029
13,https://www.realtor.com/rentals/details/3300-W-97th-St_Cleveland_OH_44102_M32094-37415,3209437415,2975562961,NEOH,5087839,FOR_RENT,"3300 W 97th St | DN, Cleveland - Spacious 2 bed 1 bath multi-family home! // $ 630 rent / $ 630 deposit // $49 application fee per adult // 1-2 pets OK in this unit. After application pre-approval, a PetScreening is required for any animals to proceed with one of our properties; a PetScreening affidavit is still required if you have no pets. (Some breed restrictions apply per HUD guidelines). // NO SMOKING // 1 time $99 non-refundable set up fee paid at lease signing // $30/month required resident benefit package; can include personal property/liability insurance for an additional $5/month for $35/month total. // After application Pre-Approval 1 applicant per household application is required to fill out a PetScreening application, found here: havenrealty.petscreening.com before being about to proceed with placing a Reservation Fee for one of our properties. You will receive a pre-approval for your application and in order to proceed, the PetScreening is required. Even if you have NO pets - this application must be filled out. One time, non-refundable pet fee of $200-500 per animal applies to all pets & must be paid before or when you pay your first month rent. (No fee for qualified assistance animals). // Our application is processed through secure site: Findigs, and they require ID and income verification. Without this, your application will not be processed. They offer 24/7 chat support on their application directly if you have any questions. // BEDROOMS: 2 // BATHROOMS: 1 // APPLIANCES PROVIDED: Stove // UTILITIES / RESIDENT RESPONSIBILITY: Resident pays gas and electric and is responsible for snow removal.",MULTI_FAMILY,3300 W 97th St Unit 1 /Dn,3300 W 97th St,Unit 1 /Dn,Cleveland,OH,44102,2,1,,990,1910,1,630,2024-11-29,143500,18200,108275,False,4922,1,41.464231,-81.750197,West Boulevard,Cuyahoga,39035,2,0,,"Cleveland Metropolitan School District, Constellation Schools: Outreach Academy For Students With Di, Village Preparatory School Willard School District",7.860921342119761,315.0,7.636363636363637,3.8181818181818183
15,https://www.realtor.com/rentals/details/2048-W-105th-St_Cleveland_OH_44102_M46265-49411,4626549411,2975557476,RENU,r3796976,FOR_RENT,"Welcome to this charming 3-bedroom, 1-bathroom house located at 2048 West 105th Street, Cleveland, OH 44102. With 1489.0 sqft, this property offers a comfortable and inviting atmosphere for anyone looking for a new place to call home.We welcome Section 8 tenants with open arms!This well-maintained house features a spacious living area, perfect for relaxing or entertaining guests. The kitchen is equipped with modern appliances and ample storage space, making meal preparation a breeze. The bedrooms are cozy and bright, providing a peaceful retreat at the end of the day.Located in a convenient neighborhood, this house is close to shopping, dining, and entertainment options. With easy access to major highways and public transportation, commuting to work or exploring the city is a breeze.This property is available for a 12-month lease , offering a long-term housing solution for those seeking stability and comfort. Don't miss out on the opportunity to make this house your new home sweet home!Fees and Lease Terms:Hold Fee: One month's rent, due within a week of application approval.Application Fee: $25 per adult, non-refundable.We'll process your application within 3-5 business days.Please note that while we strive for accuracy, all information is subject to change and should be verified.Info: 2122029323 (only text messages)",SINGLE_FAMILY,2048 W 105th St,2048 W 105th St,,Cleveland,OH,44102,3,1,,1489,,1,1300,2024-11-29,80000,14430,100018,False,,1,41.475612,-81.759065,Cudell,Cuyahoga,39035,,,,"Cleveland Metropolitan School District, Lakewood City Academy, Lake Erie International High School School District, Constellation Schools: Madison Community Elementary",8.064808862224206,433.3333333333333,10.476830087306917,3.4922766957689726
18,https://www.realtor.com/rentals/details/18517-Homeway-Rd_Cleveland_OH_44135_M37699-80351,3769980351,2975567030,NEOH,5087865,FOR_RENT,"18517 Homeway Rd, Cleveland - Spacious 4 bed 1 bath single family home! // $ 1050 rent / $ 1050 deposit // $49 application fee per adult // 1-2 pets OK in this unit. After application pre-approval, a PetScreening is required for any animals to proceed with one of our properties; a PetScreening affidavit is still required if you have no pets. (Some breed restrictions apply per HUD guidelines). // NO SMOKING // 1 time $149 non-refundable set up fee paid at lease signing // $30/month required resident benefit package; can include personal property/liability insurance for an additional $5/month for $35/month total. // After application Pre-Approval 1 applicant per household application is required to fill out a PetScreening application, found here: havenrealty.petscreening.com before being about to proceed with placing a Reservation Fee for one of our properties. You will receive a pre-approval for your application and in order to proceed, the PetScreening is required. Even if you have NO pets - this application must be filled out. One time, non-refundable pet fee of $200-500 per animal applies to all pets & must be paid before or when you pay your first month rent. (No fee for qualified assistance animals). // Our application is processed through secure site: Findigs, and they require ID and income verification. Without this, your application will not be processed. They offer 24/7 chat support on their application directly if you have any questions. // BEDROOMS: 4 // BATHROOMS: 1 // APPLIANCES PROVIDED: Stove and dishwasher // UTILITIES / RESIDENT RESPONSIBILITY: Residents are responsible for all utilities including: water/sewer/trash, gas & electric and are responsible to maintain lawn care, maintenance & snow removal. // Serious inquiries only.",SINGLE_FAMILY,18517 Homeway Rd,18517 Homeway Rd,,Cleveland,OH,44135,4,1,,1396,1950,1,1050,2024-11-29,67500,34270,149000,False,5079,1,41.427219,-81.829606,"Riverside, West Park",Cuyahoga,39035,2,0,1,Cleveland Metropolitan School District,12.654975621214906,262.5,9.025787965616045,2.2564469914040113
21,https://www.realtor.com/rentals/details/1384-W-83rd-St-Apt-201_Cleveland_OH_44102_M99840-48631,9984048631,2975471753,TRBO,1670981,FOR_RENT,"INDIVIDUAL AIR CONDITIONING AND HEATING! This beautifully renovated 1 bedroom apartment is located in a well-maintained apartment building, not from the popular Edgewater Beach. It has a granite countertop, reconditioned hardwood flooring along with fixtures all around. The unit is situated on the fourth floor, which makes the tenant enjoy some great views. The building has laundry machines that are available in the same building. Each unit has smart a digital lock that can be accessed with your phone. The building is also pet-friendly. The photos may be of a similar unit, but can expect very similar. The common area photos of course apply to the building that this unit is contained in. We also have a link to a video walkthrough by request. Just reach out to let us know and we will be happy to send it over to you. To apply, visit TurboTenant and search for Property ID 1670981",APARTMENT,1384 W 83rd St Apt 201,1384 W 83rd St,Apt 201,Cleveland,OH,44102,1,1,,600,,4,950,2024-11-26,,,,False,,2,41.481564,-81.741837,Detroit - Shoreway,Cuyahoga,39035,,,,"Cleveland Metropolitan School District, Constellation Schools: Madison Community Elementary",7.09930728782069,950.0,19.0,19.0
23,https://www.realtor.com/rentals/details/1384-W-83rd-St-Apt-405_Cleveland_OH_44102_M93766-55632,9376655632,2975437566,TRBO,1668123,FOR_RENT,"Air Conditioning, Smart Locks, full renovation. With air conditioning and heating to allow full control of temperature inside your residence. This has been renovated and located in a well maintained building, not far from the popular Edgewater Beach. It has granite countertops, reconditioned hardwood flooring along with fixtures all around, including stainless steel appliances. The building has new laundry machines that are located in the same building. Each unit has smart digital lock that is unlocked from your phone or key fob. The building is also pet friendly. Please also see the video walkthrough of this building and nearby amenities. Feel free to message us and let us know if you have any questions. We are happy to set up a walkthrough of the building. To apply, visit TurboTenant and search for Property ID 1668123",APARTMENT,1384 W 83rd St Apt 405,1384 W 83rd St,Apt 405,Cleveland,OH,44102,0,1,,500,,5,795,2024-11-25,,,,False,,2,41.481564,-81.741837,Detroit - Shoreway,Cuyahoga,39035,,,,"Cleveland Metropolitan School District, Constellation Schools: Madison Community Elementary",7.09930728782069,795.0,19.08,19.08
28,https://www.realtor.com/rentals/details/22678-Lenox-Dr-Main_Cleveland_OH_44126_M92546-72171,9254672171,2975448068,REDI,-OCaEiV6oFABLkmln7yr$Main,FOR_RENT,"Beautiful two bedroom two bathroom condo Welcome to this stunning move-in-ready, second-floor living, open floor plan, condominium The great room features a beautiful gas fireplace and opens to the dining area and kitchen. The spacious laundry room offers an additional storage area and is located off the kitchen. The private patio is accessed from the French door in the great room. The master bedroom features an updated en-suite bathroom and a large walk-in closet. The second bedroom is located directly across from the second updated full bath. Freshly painted throughout. The one-car garage is conveniently located across from the unit. This unit is located in a wonderful area, near restaurants, shopping, airport, Metroparks, and easy highway access! Truly a gem make it your home today To prequalify or apply, download the RentRedi app from Google Play or the App Store. You can also visit tenant.rentredi.com/getStarted/apply/QIG473 to apply, or go to tenant.rentredi.com/getStarted/prequalify/QIG473 to prequalify. For applying through the RentRedi mobile app, please follow these steps: Step 1. Tap the Apply button. Step 2. Click the + icon. Step 3. Select whether you're prequalifying or applying. Step 4. Enter in your unit code: QIG-473. Step 5. Click Enter Information and answer the questions. Step 6. Click Send to submit to the landlord. This property is using RentRedi for rent payments. With RentRedi, you can easily submit rent payments, boost your credit by reporting rent payments, sign up for affordable renters insurance, and more from the app!",CONDOS,22678 Lenox Dr Unit Main,22678 Lenox Dr,Unit Main,Cleveland,OH,44126,2,2,,1192,,4,1400,2024-11-26,,,,False,,1,41.423107,-81.871552,Village of Parkview,Cuyahoga,39035,,,,"Constellation Schools: Westpark Community Middle, Fairview Park City School District, Albert Einstein Academy For Letters Arts And Sciences-Ohio School District, Polaris School District",14.765002299941683,700.0,14.093959731543624,7.046979865771812
29,https://www.realtor.com/rentals/details/7927-Ferrell-Ave_Cleveland_OH_44102_M35676-87699,3567687699,2975463570,NEOH,5087169,FOR_RENT,"Welcome to this move in ready home at 7927 Ferrell Ave in Cleveland and available for immediate occupancy -- vouchers are welcome! This home was recently renovated and remodeled. Updates Include: New roof, vinyl siding, gutters, New Custom Kitchen and large full glamor tiled bath on the first floor. Spacious Living and Dining Areas. New plumbing, electrical, wood laminate flooring and fixtures. First Floor Bedroom, nice sized backyard with shed and lovely front porch. There is nothing to do but move In. Excellent location just minutes from Lakewood, Tremont and all of the incredible amenities Cleveland has to offer! Easy Access to public transportation and major interstates as well! Schedule a tour TODAY! Fair housing accommodations and modifications for persons with disabilities will be considered on a case by case basis in accordance with the fair housing laws",SINGLE_FAMILY,7927 Ferrell Ave,7927 Ferrell Ave,,Cleveland,OH,44102,3,1,,1253,1885,4,1795,2024-11-26,45000,9560,117900,False,3119,1,41.477812,-81.739946,Detroit - Shoreway,Cuyahoga,39035,2,0,,"Cleveland Metropolitan School District, Constellation Schools: Madison Community Elementary",7.066354300240764,598.3333333333334,17.19074221867518,5.73024740622506
30,https://www.realtor.com/rentals/details/3456-W-127th-St_Cleveland_OH_44111_M34717-88244,3471788244,2975473085,AVAL,61234666,FOR_RENT,"Amazing 3 bedroom, 2 bathroom house in Cleveland. Amenities included: central air, central heat, dishwasher, stainless steel appliance, updated kitchen, washer dryer, and yard. Date Available: Nov 24th 2024. $1, 600/month rent. $1, 600 security deposit required. Some pets ok with additional fee. Please submit the form on this page or contact SaiSal Investment LLC to learn more. This property is managed by a responsible landlord using Avail landlord software.",SINGLE_FAMILY,3456 W 127th St,3456 W 127th St,,Cleveland,OH,44111,3,2,,1160,,4,1600,2024-11-26,127500,25070,139000,False,,1,41.458489,-81.776895,"Jefferson, West Park",Cuyahoga,39035,,,,Cleveland Metropolitan School District,9.298338776522067,533.3333333333334,16.551724137931036,5.517241379310345
