property_url,property_id,listing_id,mls,mls_id,status,text,style,full_street_line,street,unit,city,state,zip_code,beds,full_baths,half_baths,sqft,year_built,days_on_mls,list_price,list_price_min,list_price_max,list_date,sold_price,last_sold_date,assessed_value,estimated_value,new_construction,lot_sqft,price_per_sqft,latitude,longitude,neighborhoods,county,fips_code,stories,hoa_fee,parking_garage,agent_id,agent_name,agent_email,agent_phones,agent_mls_set,agent_nrds_id,broker_id,broker_name,builder_id,builder_name,office_id,office_mls_set,office_name,office_email,office_phones,nearby_schools,primary_photo,alt_photos
https://www.realtor.com/rentals/details/3818-John-Ave_Cleveland_OH_44113_M97844-16758,9784416758,2973279857,NEOH,5075465,FOR_RENT,"Available December in the HEART of Ohio City! Located at the corner of John and Woodbine, youll find easy access to all the restaurants, bars, and markets the area has to offer. This spacious two bedroom unit has been completely updated from top to bottom. Both bedrooms have new lighted ceiling fans, fresh carpet, and ample closet space. The full bathroom is newly tiled and features a fresh vanity and sink. Living area features high ceilings, recessed lighting, room to relax, and a conveniently located half bath. Kitchen is complete with a full set of stainless steel appliances, new butcher block countertops, and plenty of cabinets. Washer/dryer in private basement and access to partially fenced in yard! Pet friendly with some restrictions. Ample street parking! Contact agent with further questions!",MULTI_FAMILY,3818 John Ave,3818 John Ave,,Cleveland,OH,44113,2,1,1,938,1900,0,1600,,,2024-10-04,,,,355000,False,,2,41.484055,-81.714165,Ohio City,Cuyahoga,39035,,0,,1903197,Allie Carr,acarr@bhhspro.com,"[{'ext': None, 'primary': True, 'type': 'Mobile', 'number': '2169528884'}]",A-NEOH-2014001370,657018692,1214084,Berkshire Hathaway HomeServices Professional Realty,,,3808391,O-NEOH-20191,Berkshire Hathaway HomeServices Professional Realty,info@bhhspro.com,"[{'number': '2169700164', 'type': 'Office', 'primary': True, 'ext': None}]","Cleveland Metropolitan School District, Frederick Douglass Reclamation Academy, Near West Intergenerational School",http://ap.rdcpix.com/9dd158fcfc3afd13f2bca892f352274dl-m1034991694od-w480_h360_x2.webp?w=1080&q=75,"http://ap.rdcpix.com/9dd158fcfc3afd13f2bca892f352274dl-m1034991694od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/9dd158fcfc3afd13f2bca892f352274dl-m1030353453od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/9dd158fcfc3afd13f2bca892f352274dl-m1103514953od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/9dd158fcfc3afd13f2bca892f352274dl-m777370092od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/9dd158fcfc3afd13f2bca892f352274dl-m1353969028od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/9dd158fcfc3afd13f2bca892f352274dl-m2963072280od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/9dd158fcfc3afd13f2bca892f352274dl-m3523956534od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/9dd158fcfc3afd13f2bca892f352274dl-m583691857od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/9dd158fcfc3afd13f2bca892f352274dl-m2082689553od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/9dd158fcfc3afd13f2bca892f352274dl-m2411336030od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/9dd158fcfc3afd13f2bca892f352274dl-m1757417802od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/9dd158fcfc3afd13f2bca892f352274dl-m3072511839od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/9dd158fcfc3afd13f2bca892f352274dl-m648454186od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/9dd158fcfc3afd13f2bca892f352274dl-m1600158242od-w480_h360_x2.webp?w=1080&q=75"
https://www.realtor.com/rentals/details/17205-Lipton-Ave_Cleveland_OH_44128_M45119-59785,4511959785,2973287722,NEOH,5075529,FOR_RENT,"17205 Lipton Ave, Cleveland - Spacious 3 bed 1.5 bath single family home! // $ 1195 rent / $ 1195 deposit // $49 application fee per adult // 1-2 pets OK in this unit. After application pre-approval, a PetScreening is required for any animals to proceed with one of our properties; a PetScreening affidavit is still required if you have no pets. (Some breed restrictions apply per HUD guidelines). // NO SMOKING // 1 time $149 non-refundable set up fee paid at lease signing // $30/month required resident benefit package; can include personal property/liability insurance for an additional $5/month for $35/month total // After application Pre-Approval 1 applicant per household application is required to fill out a PetScreening application, before being about to proceed with placing a Reservation Fee for one of our properties. You will receive a pre-approval for your application and in order to proceed, the PetScreening is required. Even if you have NO pets - this application must be filled out. One time, non-refundable pet fee of $200-500 per animal applies to all pets & must be paid before or when you pay your first month rent. (No fee for qualified assistance animals). // Our application is processed through secure site: Findigs, and they require ID and income verification. Without this, your application will not be processed. They offer 24/7 chat support on their application directly if you have any questions. // BEDROOMS: 3 // BATHROOMS: 1.5 // APPLIANCES PROVIDED: Fridge, stove, microwave, and dishwasher // UTILITIES / RESIDENT RESPONSIBILITY: Residents are responsible for all utilities including: water/sewer/trash, gas & electric and are responsible to maintain lawn care, maintenance & snow removal. // Serious inquiries only.",SINGLE_FAMILY,17205 Lipton Ave,17205 Lipton Ave,,Cleveland,OH,44128,3,1,1,918,1959,0,1195,,,2024-10-04,135000,2023-02-22,12610,100000,False,4312,1,41.4358,-81.559193,Lee - Miles,Cuyahoga,39035,1,0,2,1075744,David Terbeek,davidterbeek@remax.net,"[{'ext': None, 'primary': True, 'type': 'Office', 'number': '4404629453'}, {'ext': None, 'primary': True, 'type': 'Mobile', 'number': '4404629453'}]",A-NEOH-2006000471,,4455920,RE/MAX Haven Realty Broker,,,995977,O-NEOH-2486,RE MAX Haven Realty,ngolem@remax.net,"[{'number': '(440) 519-3100', 'type': 'Office', 'primary': True, 'ext': None}]","Cleveland Metropolitan School District, T2 Honors Academy",http://ap.rdcpix.com/808a4026af13756eb120ca8eda79e233l-m634152714od-w480_h360_x2.webp?w=1080&q=75,"http://ap.rdcpix.com/808a4026af13756eb120ca8eda79e233l-m634152714od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/808a4026af13756eb120ca8eda79e233l-m3291197461od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/808a4026af13756eb120ca8eda79e233l-m3382691653od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/808a4026af13756eb120ca8eda79e233l-m2972310320od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/808a4026af13756eb120ca8eda79e233l-m1123043720od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/808a4026af13756eb120ca8eda79e233l-m1818136786od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/808a4026af13756eb120ca8eda79e233l-m415645651od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/808a4026af13756eb120ca8eda79e233l-m2372277482od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/808a4026af13756eb120ca8eda79e233l-m762968726od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/808a4026af13756eb120ca8eda79e233l-m2618454917od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/808a4026af13756eb120ca8eda79e233l-m3628905823od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/808a4026af13756eb120ca8eda79e233l-m883225439od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/808a4026af13756eb120ca8eda79e233l-m1125516802od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/808a4026af13756eb120ca8eda79e233l-m1355446938od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/808a4026af13756eb120ca8eda79e233l-m3958250702od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/808a4026af13756eb120ca8eda79e233l-m4000671407od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/808a4026af13756eb120ca8eda79e233l-m1713934841od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/808a4026af13756eb120ca8eda79e233l-m4066983465od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/808a4026af13756eb120ca8eda79e233l-m28569582od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/808a4026af13756eb120ca8eda79e233l-m151421161od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/808a4026af13756eb120ca8eda79e233l-m2749749758od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/808a4026af13756eb120ca8eda79e233l-m1728723688od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/808a4026af13756eb120ca8eda79e233l-m751928042od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/808a4026af13756eb120ca8eda79e233l-m366302770od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/808a4026af13756eb120ca8eda79e233l-m2138899406od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/808a4026af13756eb120ca8eda79e233l-m1479266825od-w480_h360_x2.webp?w=1080&q=75"
https://www.realtor.com/rentals/details/1079-E-171st-St-1_Cleveland_OH_44119_M94815-43019,9481543019,2973283498,NEOH,5075502,FOR_RENT,"1079 E 171ST ST| UNIT 1, Cleveland- Spacious 2 bed 1 bath multi-family home! // $ 900 rent / $ 900 deposit // $49 application fee per adult // 1-2 pets OK in this unit. After application pre-approval, a PetScreening is required for any animals to proceed with one of our properties; a PetScreening affidavit is still required if you have no pets. (Some breed restrictions apply per HUD guidelines). // NO SMOKING // 1 time $129 non-refundable set up fee paid at lease signing // $30/month required resident benefit package; can include personal property/liability insurance for an additional $5/month for $35/month total. // After application Pre-Approval 1 applicant per household application is required to fill out a PetScreening application, before being about to proceed with placing a Reservation Fee for one of our properties. You will receive a pre-approval for your application and in order to proceed, the PetScreening is required. Even if you have NO pets - this application must be filled out. One time, non-refundable pet fee of $200-500 per animal applies to all pets & must be paid before or when you pay your first month rent. (No fee for qualified assistance animals). // Our application is processed through secure site: Findigs, and they require ID and income verification. Without this, your application will not be processed. They offer 24/7 chat support on their application directly if you have any questions. // BEDROOMS: 2 // BATHROOMS: 1 // APPLIANCES PROVIDED: A stove will be provided upon move-in // UTILITIES / RESIDENT RESPONSIBILITY: Resident pays gas, water and electric and is responsible for snow removal. // Serious inquiries only.",MULTI_FAMILY,1079 E 171st St Unit 1,1079 E 171st St,Unit 1,Cleveland,OH,44119,2,1,,1113,1920,0,900,,,2024-10-04,,,,,False,,1,41.578304,-81.560318,North Collinwood,Cuyahoga,39035,2,0,1,1075744,David Terbeek,davidterbeek@remax.net,"[{'ext': None, 'primary': True, 'type': 'Office', 'number': '4404629453'}, {'ext': None, 'primary': True, 'type': 'Mobile', 'number': '4404629453'}]",A-NEOH-2006000471,,4455920,RE/MAX Haven Realty Broker,,,995977,O-NEOH-2486,RE MAX Haven Realty,ngolem@remax.net,"[{'number': '(440) 519-3100', 'type': 'Office', 'primary': True, 'ext': None}]","Lakeshore Intergenerational School, Cleveland Metropolitan School District",http://ap.rdcpix.com/0819981e2ce04a0b455ff6a03591674cl-m4083383381od-w480_h360_x2.webp?w=1080&q=75,"http://ap.rdcpix.com/0819981e2ce04a0b455ff6a03591674cl-m4083383381od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/0819981e2ce04a0b455ff6a03591674cl-m1680828998od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/0819981e2ce04a0b455ff6a03591674cl-m3157723222od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/0819981e2ce04a0b455ff6a03591674cl-m2296057331od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/0819981e2ce04a0b455ff6a03591674cl-m4074494439od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/0819981e2ce04a0b455ff6a03591674cl-m3862180772od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/0819981e2ce04a0b455ff6a03591674cl-m1442386818od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/0819981e2ce04a0b455ff6a03591674cl-m3224839734od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/0819981e2ce04a0b455ff6a03591674cl-m2067858197od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/0819981e2ce04a0b455ff6a03591674cl-m34683400od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/0819981e2ce04a0b455ff6a03591674cl-m3899116451od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/0819981e2ce04a0b455ff6a03591674cl-m2337041101od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/0819981e2ce04a0b455ff6a03591674cl-m2240965408od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/0819981e2ce04a0b455ff6a03591674cl-m3903459012od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/0819981e2ce04a0b455ff6a03591674cl-m1112212692od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/0819981e2ce04a0b455ff6a03591674cl-m153033354od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/0819981e2ce04a0b455ff6a03591674cl-m513844036od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/0819981e2ce04a0b455ff6a03591674cl-m985038812od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/0819981e2ce04a0b455ff6a03591674cl-m1466627369od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/0819981e2ce04a0b455ff6a03591674cl-m353504264od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/0819981e2ce04a0b455ff6a03591674cl-m1458640521od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/0819981e2ce04a0b455ff6a03591674cl-m685704092od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/0819981e2ce04a0b455ff6a03591674cl-m3769765127od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/0819981e2ce04a0b455ff6a03591674cl-m3106045115od-w480_h360_x2.webp?w=1080&q=75"
https://www.realtor.com/rentals/details/787-London-Rd-Apt-3_Cleveland_OH_44110_M98336-05896,9833605896,2973268476,AVAL,61200520,FOR_RENT,"Amazing 1 bedroom, 1 bathroom apartment in Cleveland. Amenities included: hardwood floors, updated kitchen, and updated bathroom. Utilities included: water. Is not pet friendly. Date Available: Oct 1st 2024. $700/month rent. $700 security deposit required. Please submit the form on this page or contact Jamilla to learn more. This property is managed by a responsible landlord using Avail landlord software.",APARTMENT,787 London Rd Apt 3,787 London Rd,Apt 3,Cleveland,OH,44110,1,1,,700,,0,700,,,2024-10-04,,,,,False,,1,41.559353,-81.565918,South Collinwood,Cuyahoga,39035,,,,,,,,,,,,,,,,,,,"Cleveland Metropolitan School District, East Academy School District",http://ap.rdcpix.com/635d5860ce26f5ecd25ae42f6ac44535l-m1452428421od-w480_h360_x2.webp?w=1080&q=75,"http://ap.rdcpix.com/635d5860ce26f5ecd25ae42f6ac44535l-m1452428421od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/635d5860ce26f5ecd25ae42f6ac44535l-m2497509473od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/635d5860ce26f5ecd25ae42f6ac44535l-m2466063691od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/635d5860ce26f5ecd25ae42f6ac44535l-m2599851597od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/635d5860ce26f5ecd25ae42f6ac44535l-m2105034203od-w480_h360_x2.webp?w=1080&q=75"
https://www.realtor.com/rentals/details/1434-W-112th-St-Apt-2_Cleveland_OH_44102_M91901-05426,9190105426,2973256778,RENU,r3773772,FOR_RENT,"Welcome to this charming apartment located at 1434 West 112th Street in Cleveland, OH. Unit #2 offers 900.0 sqft of living space in a historic building built in 1907. This cozy apartment features 2 bedrooms and 1 bathroom, providing a comfortable living environment.The unit is well-maintained and boasts the beautiful original hard wood floors. The living area is spacious and ideal for relaxing or entertaining guests.Located in a convenient neighborhood, this apartment offers easy access to local amenities, dining options, and public transportation. With a 12-month lease starting on October 20, 2024, this property provides a great opportunity for those looking for a long-term rental option.Don't miss the chance to make this apartment your new home. Schedule a viewing today and experience the comfort and convenience this property has to offer.",APARTMENT,1434 W 112th St Apt 2,1434 W 112th St,Apt 2,Cleveland,OH,44102,2,1,,900,,0,1100,,,2024-10-04,,,,,False,,1,41.481632,-81.765244,Edgewater,Cuyahoga,39035,,,,,,,,,,,,,,,,,,,"Lakewood City Academy, Cleveland Metropolitan School District, Hope Academy Northwest Campus, Lake Erie International High School School District",,
https://www.realtor.com/rentals/details/13415-S-Woodland-Rd-Apt-1_Cleveland_OH_44120_M93098-94665,9309894665,2973279303,NEOH,5075377,FOR_RENT,"Beautiful Tudor Apartment complex features stunning architecture inside and out! Now leasing this 1 bedroom 1 bath suite and kitchen with granite countertops and updated cabinetry and stainless steel appliances and hardwood flooring throughout. Vaulted ceilings and lower level laundry and conveniently located near Amtrack train line and within a short driving distance to all Cleveland's amenities, hospitals, Cleveland State University and Case Western Reserve University",APARTMENT,13415 S Woodland Rd Apt 1,13415 S Woodland Rd,Apt 1,Cleveland,OH,44120,1,1,,,1928,0,950,,,2024-10-04,,,,,False,19998,,41.479435,-81.587133,"Buckeye - Shaker, Ludlow",Cuyahoga,39035,,,1,4428822,Lisa Mazzola,lmazzolac21@gmail.com,"[{'ext': None, 'primary': True, 'type': 'Office', 'number': '3306735883'}, {'ext': None, 'primary': True, 'type': 'Mobile', 'number': '2163237071'}]",A-NEOH-2019007839,,1018837,Century 21 Wilbur,,,,O-NEOH-20502,Century 21 Wilbur Realty,wilburrealty@aol.com,"[{'number': '3306735883', 'type': None, 'primary': True, 'ext': None}]","Randall Park High School, Intergenerational School The, Shaker Heights City School District, Wings Academy 2",http://ap.rdcpix.com/d58667559a9ca3b93325888036950bc9l-m2437620862od-w480_h360_x2.webp?w=1080&q=75,"http://ap.rdcpix.com/d58667559a9ca3b93325888036950bc9l-m2437620862od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/d58667559a9ca3b93325888036950bc9l-m3771480051od-w480_h360_x2.webp?w=1080&q=75"
https://www.realtor.com/rentals/details/2910-Ludlow-Rd-Apt-16_Cleveland_OH_44120_M41752-42400,4175242400,2973278745,NEOH,5075357,FOR_RENT,"Beautiful Tudor Apartment Complex Features Stunning Architecture Inside and Out! Now Leasing this 2 Bdrm, 1 Bath Suite Kitchen with Granite Countertops, Updated Cabinetry, Stainless Steel Appliances Hardwood Flooring Throughout Vaulted Ceilings Lower Level Laundry Underground Parking Garage Conveniently Located Near Amtrak Train Line Within A Short Driving Distance to all of Cleveland's Amenities, Hospitals, Cleveland State University, and Case Western Reserve University.",APARTMENT,2910 Ludlow Rd Unit 4,2910 Ludlow Rd,Unit 4,Cleveland,OH,44120,2,1,,,1928,0,1150,,,2024-10-04,685000,2019-04-15,190410,,False,19998,,41.479605,-81.587707,"Ludlow, Buckeye - Shaker",Cuyahoga,39035,,,2,4428822,Lisa Mazzola,lmazzolac21@gmail.com,"[{'ext': None, 'primary': True, 'type': 'Office', 'number': '3306735883'}, {'ext': None, 'primary': True, 'type': 'Mobile', 'number': '2163237071'}]",A-NEOH-2019007839,,1018837,Century 21 Wilbur,,,,O-NEOH-20502,Century 21 Wilbur Realty,wilburrealty@aol.com,"[{'number': '3306735883', 'type': None, 'primary': True, 'ext': None}]","Randall Park High School, Intergenerational School The, Shaker Heights City School District, Wings Academy 2",http://ap.rdcpix.com/c321055f865bb5655a22ee77051f9089l-m639769290od-w480_h360_x2.webp?w=1080&q=75,"http://ap.rdcpix.com/c321055f865bb5655a22ee77051f9089l-m639769290od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/c321055f865bb5655a22ee77051f9089l-m2437620862od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/c321055f865bb5655a22ee77051f9089l-m197624857od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/c321055f865bb5655a22ee77051f9089l-m3771480051od-w480_h360_x2.webp?w=1080&q=75"
https://www.realtor.com/rentals/details/14216-Ashwood-Rd_Cleveland_OH_44120_M37441-95467,3744195467,2973234363,NEOH,5075224,FOR_RENT,"Take a look at this newly updated colonial home in the heart of Shaker Heights! This property features 3 beds and 1 1/2 baths! Both bedrooms are located on the second floor of this home. There is an additional bonus room on the first floor that could be used as a 3rd bedroom or back patio room! Updates to this property include new flooring, new interior paint, updated main bathroom and much more! Schedule your showing!",SINGLE_FAMILY,14216 Ashwood Rd,14216 Ashwood Rd,,Cleveland,OH,44120,3,1,1,1459,1929,0,1700,,,2024-10-04,140000,2022-01-21,55800,201200,False,6987,1,41.471949,-81.582492,"Ludlow, Buckeye - Shaker",Cuyahoga,39035,2,0,2,4929930,Morgan Mcclain,morgan.mcclain@cbschmidtohio.com,"[{'ext': None, 'primary': True, 'type': 'Mobile', 'number': '2163336844'}]",A-NEOH-2021006566,657025090,3131735,"Coldwell Banker Schmidt Realtors, OH",,,1892267,O-NEOH-2644,COLDWELL BANKER SCHMIDT REALTY,cbmentor1906@gmail.com,"[{'number': '(440) 951-1410', 'type': 'Office', 'primary': True, 'ext': None}]","Randall Park High School, Shaker Heights City School District, Chapelside Cleveland Academy School District, Wings Academy 2",http://ap.rdcpix.com/5dcbe7eec5fa84447997e1451c7a448bl-m597489721od-w480_h360_x2.webp?w=1080&q=75,"http://ap.rdcpix.com/5dcbe7eec5fa84447997e1451c7a448bl-m597489721od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/5dcbe7eec5fa84447997e1451c7a448bl-m274000109od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/5dcbe7eec5fa84447997e1451c7a448bl-m2576302015od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/5dcbe7eec5fa84447997e1451c7a448bl-m307400089od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/5dcbe7eec5fa84447997e1451c7a448bl-m224097018od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/5dcbe7eec5fa84447997e1451c7a448bl-m1272868248od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/5dcbe7eec5fa84447997e1451c7a448bl-m2277376135od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/5dcbe7eec5fa84447997e1451c7a448bl-m2512981524od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/5dcbe7eec5fa84447997e1451c7a448bl-m1232772330od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/5dcbe7eec5fa84447997e1451c7a448bl-m1433077490od-w480_h360_x2.webp?w=1080&q=75"
https://www.realtor.com/rentals/details/3368-W-105th-St_Cleveland_OH_44111_M36581-93894,3658193894,2973226476,TRBO,1618178,FOR_RENT,"Two bedroom townhome style duplex. Completely remodeled throughout. Kitchen, new flooring's, updated bathroom, private basement and walk up attic. All brand new all appliances including washer and dryer, new windows. Huge shared yard. Off street parking, one side of garage included. To apply, visit TurboTenant and search for Property ID 1618178",TOWNHOMES,3368 W 105th St,3368 W 105th St,,Cleveland,OH,44111,2,1,1,1175,,1,1240,,,2024-10-03,93000,1998-06-26,31330,136606,False,,1,41.460826,-81.759247,West Boulevard,Cuyahoga,39035,,,,,,,,,,,,,,,,,,,"Cleveland Metropolitan School District, Constellation Schools: Outreach Academy For Students With Di",http://ap.rdcpix.com/64c6d987792339188e9c70569721a7fdl-m2065650930od-w480_h360_x2.webp?w=1080&q=75,"http://ap.rdcpix.com/64c6d987792339188e9c70569721a7fdl-m2065650930od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/64c6d987792339188e9c70569721a7fdl-m2886385852od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/64c6d987792339188e9c70569721a7fdl-m3428205442od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/64c6d987792339188e9c70569721a7fdl-m262497833od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/64c6d987792339188e9c70569721a7fdl-m543607146od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/64c6d987792339188e9c70569721a7fdl-m3333782508od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/64c6d987792339188e9c70569721a7fdl-m916431753od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/64c6d987792339188e9c70569721a7fdl-m3979727533od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/64c6d987792339188e9c70569721a7fdl-m3702404252od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/64c6d987792339188e9c70569721a7fdl-m2213824800od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/64c6d987792339188e9c70569721a7fdl-m1271197546od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/64c6d987792339188e9c70569721a7fdl-m2809109121od-w480_h360_x2.webp?w=1080&q=75"
https://www.realtor.com/rentals/details/10809-Nelson-Ave_Cleveland_OH_44105_M91154-09583,9115409583,2973225962,NEOH,5075194,FOR_RENT,Newly renovated three bedroom apartment. Beautiful kitchen and bath!!!,APARTMENT,10809 Nelson Ave,10809 Nelson Ave,,Cleveland,OH,44105,3,1,,960,1920,1,950,,,2024-10-03,,,,,False,5602,1,41.453377,-81.60923,Union - Miles Park,Cuyahoga,39035,2,,,1192884,Henry Stoudermire,hstoudermire@gmail.com,"[{'ext': None, 'primary': True, 'type': 'Mobile', 'number': '2163900570'}]",A-NEOH-270499,,,,,,2905355,O-NEOH-2550,"Mcmullan Realty, Inc.",hstoudermire@gmail.com,"[{'number': '2169918100', 'type': 'Office', 'primary': True, 'ext': None}]","Harvard Avenue Community School, Cleveland Metropolitan School District",http://ap.rdcpix.com/f9182183b541bebb21c0b8528bdd24e6l-m3139040309od-w480_h360_x2.webp?w=1080&q=75,"http://ap.rdcpix.com/f9182183b541bebb21c0b8528bdd24e6l-m3139040309od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/f9182183b541bebb21c0b8528bdd24e6l-m781269130od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/f9182183b541bebb21c0b8528bdd24e6l-m1992338266od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/f9182183b541bebb21c0b8528bdd24e6l-m2063985279od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/f9182183b541bebb21c0b8528bdd24e6l-m1590712952od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/f9182183b541bebb21c0b8528bdd24e6l-m552604794od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/f9182183b541bebb21c0b8528bdd24e6l-m3252332820od-w480_h360_x2.webp?w=1080&q=75"
